env,method,run,env_steps,return
atari_alien,dreamerv2,atari_alien_nosched_1,104000000.0,3160.0
atari_alien,dreamerv2,atari_alien_nosched_1,105000000.0,2986.0
atari_alien,dreamerv2,atari_alien_nosched_1,106000000.0,3206.0
atari_alien,dreamerv2,atari_alien_nosched_1,107000000.0,3088.0
atari_alien,dreamerv2,atari_alien_nosched_1,108000000.0,2896.0
atari_alien,dreamerv2,atari_alien_nosched_1,109000000.0,3113.0
atari_alien,dreamerv2,atari_alien_nosched_1,110000000.0,4208.0
atari_alien,dreamerv2,atari_alien_nosched_1,111000000.0,2446.0
atari_alien,dreamerv2,atari_alien_nosched_1,112000000.0,2311.0
atari_alien,dreamerv2,atari_alien_nosched_1,113000000.0,2955.0
atari_alien,dreamerv2,atari_alien_nosched_1,114000000.0,2447.0
atari_alien,dreamerv2,atari_alien_nosched_1,115000000.0,2956.0
atari_alien,dreamerv2,atari_alien_nosched_1,116000000.0,3398.0
atari_alien,dreamerv2,atari_alien_nosched_1,117000000.0,2859.0
atari_alien,dreamerv2,atari_alien_nosched_1,118000000.0,3675.0
atari_alien,dreamerv2,atari_alien_nosched_1,119000000.0,3698.0
atari_alien,dreamerv2,atari_alien_nosched_1,120000000.0,3698.0
atari_alien,dreamerv2,atari_alien_nosched_1,121000000.0,3520.0
atari_alien,dreamerv2,atari_alien_nosched_1,122000000.0,2403.0
atari_alien,dreamerv2,atari_alien_nosched_1,123000000.0,3917.0
atari_alien,dreamerv2,atari_alien_nosched_1,124000000.0,2993.0
atari_alien,dreamerv2,atari_alien_nosched_1,125000000.0,3483.0
atari_alien,dreamerv2,atari_alien_nosched_1,126000000.0,2592.0
atari_alien,dreamerv2,atari_alien_nosched_1,127000000.0,3339.0
atari_alien,dreamerv2,atari_alien_nosched_1,128000000.0,3320.0
atari_alien,dreamerv2,atari_alien_nosched_1,129000000.0,3132.0
atari_alien,dreamerv2,atari_alien_nosched_1,130000000.0,3624.0
atari_alien,dreamerv2,atari_alien_nosched_1,131000000.0,3441.0
atari_alien,dreamerv2,atari_alien_nosched_1,132000000.0,3581.0
atari_alien,dreamerv2,atari_alien_nosched_1,133000000.0,4120.0
atari_alien,dreamerv2,atari_alien_nosched_1,134000000.0,4688.0
atari_alien,dreamerv2,atari_alien_nosched_1,135000000.0,4052.0
atari_alien,dreamerv2,atari_alien_nosched_1,136000000.0,3763.0
atari_alien,dreamerv2,atari_alien_nosched_1,137000000.0,3182.0
atari_alien,dreamerv2,atari_alien_nosched_1,138000000.0,2844.0
atari_alien,dreamerv2,atari_alien_nosched_1,139000000.0,4381.0
atari_alien,dreamerv2,atari_alien_nosched_1,140000000.0,3690.0
atari_alien,dreamerv2,atari_alien_nosched_1,141000000.0,3583.0
atari_alien,dreamerv2,atari_alien_nosched_1,142000000.0,3763.0
atari_alien,dreamerv2,atari_alien_nosched_1,143000000.0,4179.0
atari_alien,dreamerv2,atari_alien_nosched_1,144000000.0,4497.0
atari_alien,dreamerv2,atari_alien_nosched_1,145000000.0,3455.0
atari_alien,dreamerv2,atari_alien_nosched_1,146000000.0,4175.0
atari_alien,dreamerv2,atari_alien_nosched_1,147000000.0,3680.0
atari_alien,dreamerv2,atari_alien_nosched_1,148000000.0,3785.0
atari_alien,dreamerv2,atari_alien_nosched_1,149000000.0,4221.0
atari_alien,dreamerv2,atari_alien_nosched_1,150000000.0,4190.0
atari_alien,dreamerv2,atari_alien_nosched_1,151000000.0,3872.0
atari_alien,dreamerv2,atari_alien_nosched_1,152000000.0,3885.0
